cluster_name,major_category,group_name,mid_categories,num_mid_categories,num_docs,representative_docs
#구매·자재·물류_품질,#구매·자재·물류,품질,품질관리,1,37,"50285218, 50422954, 50289795"
#구매·자재·물류_자재,#구매·자재·물류,자재,"자재관리, 재고관리",2,34,"50437789, 50471597, 50326088"
#구매·자재·물류_물류,#구매·자재·물류,물류,"물류관리, 국제물류, 물류기획",3,31,"50395301, 50395313, 50280849"
#구매·자재·물류_SCM,#구매·자재·물류,SCM,SCM,1,10,"50485422, 50518596, 50411510"
#구매·자재·물류_포워더,#구매·자재·물류,포워더,포워더,1,9,"50497582, 50346709, 50411510"
#미디어·문화·스포츠_PD,#미디어·문화·스포츠,PD,PD/AD/FD,1,8,"50496813, 50315931, 50273161"
#미디어·문화·스포츠_에디터,#미디어·문화·스포츠,에디터,에디터,1,10,"50472296, 50413258, 50443338"
#미디어·문화·스포츠_크리에이터,#미디어·문화·스포츠,크리에이터,"인플루언서, MC",2,24,"50432217, 50315206, 50498368"
#상품기획·md_MD,#상품기획·md,MD,"기획MD, 온라인MD, 영업MD, 브랜드MD, AMD",5,32,"50500685, 50484433, 50340802"
#연구·r&d_R&D,#연구·r&d,R&D,"R&D, 연구원, R&D기획",3,62,"50200247, 50343190, 50442969"
#의료_의료진,#의료,의료진,약사,1,6,"50396198, 50329521, 50436150"
#의료_관리,#의료,관리,보건관리자,1,12,"50500403, 50439730, 50439778"
#의료_영업,#의료,영업,MR,1,11,"50381214, 50332597, 50262366"
#총무·법무·사무_총무,#총무·법무·사무,총무,"총무, 서무",2,42,"50318919, 50290659, 50473052"
#총무·법무·사무_법무,#총무·법무·사무,법무,법무,1,36,"50318919, 50290659, 50473052"
#총무·법무·사무_사무,#총무·법무·사무,사무,사무직,1,25,"50264741, 50018158, 50146896"
#총무·법무·사무_비서,#총무·법무·사무,비서,비서,1,10,"50042401, 50299803, 50350522"
#총무·법무·사무_컴플라이언스,#총무·법무·사무,컴플라이언스,컴플라이언스,1,5,"50438293, 50519603, 50436592"
#회계·세무·재무_회계,#회계·세무·재무,회계,"회계, 전산회계, 경리",3,64,"50351820, 50260808, 50494411"
#회계·세무·재무_재무,#회계·세무·재무,재무,재무,1,53,"50351820, 50260808, 50494411"
#회계·세무·재무_세무,#회계·세무·재무,세무,세무사,1,5,"50521595, 50506092, 50507340"
#회계·세무·재무_감사,#회계·세무·재무,감사,감사,1,22,"50356364, 50472623, 50019012"
#고객상담·tm_고객관리,#고객상담·tm,고객관리,"고객관리, CS",2,35,"50318919, 50499769, 50110580"
#교육_교육운영,#교육,교육운영,교육운영,1,19,"50273155, 50295588, 50378176"
#교육_교육컨텐츠,#교육,교육컨텐츠,"교육컨텐츠개발, 교육컨텐츠기획, 교재개발",3,14,"50273155, 50295588, 50378176"
#운전·운송·배송_운송,#운전·운송·배송,운송,해상운송,1,5,"50337003, 50331710, 50415411"
#운전·운송·배송_물류,#운전·운송·배송,물류,"통관, 포워더",2,22,"50497582, 50472734, 50280849"
#운전·운송·배송_운전,#운전·운송·배송,운전,운전,1,14,"50369097, 50462548, 50424918"
#공공·복지_복지,#공공·복지,복지,사회복지사,1,5,"50264741, 50018158, 50146896"
#공공·복지_사무,#공공·복지,사무,사무직,1,25,"50264741, 50018158, 50146896"
#인사·노무·hrd_인사,#인사·노무·hrd,인사,"인사, HRM, HRD",3,44,"50139354, 50202078, 50299439"
#인사·노무·hrd_채용,#인사·노무·hrd,채용,채용담당자,1,11,"50139354, 50510979, 50460141"
#인사·노무·hrd_노무,#인사·노무·hrd,노무,ER(노무관리),1,11,"50430373, 50335765, 50510979"
#구매·자재·물류_유통관리,#구매·자재·물류,유통관리,유통관리,1,7,"50497582, 50472734, 50280849"
#마케팅·홍보·조사_블로그마케팅,#마케팅·홍보·조사,블로그마케팅,블로그마케팅,1,6,"50430377, 50498368, 50395651"
#생산_제조가공,#생산,제조가공,제조가공,1,6,"50510184, 50390223, 50470188"
#마케팅·홍보·조사_SNS마케팅,#마케팅·홍보·조사,SNS마케팅,SNS마케팅,1,6,"50395651, 50340395, 50359645"
#마케팅·홍보·조사_퍼포먼스마케팅,#마케팅·홍보·조사,퍼포먼스마케팅,퍼포먼스마케팅,1,6,"50463576, 50431321, 50340395"
#생산_전자제어,#생산,전자제어,전자제어,1,8,"50407949, 50373391, 50034452"
#기획·전략_앱기획,#기획·전략,앱기획,앱기획,1,5,"50176202, 50319863, 50428305"
#영업·판매·무역_식품/음료영업,#영업·판매·무역,식품/음료영업,식품/음료영업,1,5,"50442166, 50416843, 50433015"
#생산_자동제어,#생산,자동제어,자동제어,1,10,"50280893, 50373391, 50325048"
#인사·노무·hrd_기타,#인사·노무·hrd,기타,기타,1,257,"43681382, 50395394, 50480049"
#생산_자동화설계,#생산,자동화설계,자동화설계,1,11,"50311722, 50509511, 50212049"
#영업·판매·무역_화장품영업,#영업·판매·무역,화장품영업,화장품영업,1,6,"50335317, 50383351, 50304110"
#기획·전략_문화기획,#기획·전략,문화기획,문화기획,1,5,"50521437, 50432891, 50505359"
#생산_전기제어,#생산,전기제어,전기제어,1,12,"50311722, 50509511, 50373391"
#영업·판매·무역_솔루션기술영업,#영업·판매·무역,솔루션기술영업,솔루션기술영업,1,5,"50500831, 50202288, 50382389"
#생산_전장설계,#생산,전장설계,전장설계,1,5,"50493873, 50328162, 50462015"
